method,seed,episode,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,0,19.363807426411977,1.5974250464490773,90.0,1000
DRL-MADRL,42,1,18.729981525564884,1.881211665290959,90.2,1000
DRL-MADRL,42,2,17.199699244058845,0.8793550609970627,89.3,1000
DRL-MADRL,42,3,18.320190681739607,0.7487366931275392,90.5,1000
DRL-MADRL,42,4,19.13237677080061,1.4657984910595274,88.7,1000
DRL-MADRL,42,5,18.428118675346926,1.1348583517146535,90.4,1000
DRL-MADRL,42,6,18.146043399540037,1.2766787970198574,91.0,1000
DRL-MADRL,42,7,20.007884368944715,3.3827363168314,89.5,1000
DRL-MADRL,42,8,21.138654072784817,3.382494925889173,92.2,1000
DRL-MADRL,42,9,19.289634269174567,3.7795371270839038,91.9,1000
DRL-MADRL,42,10,18.02864219297748,0.7256033489836677,91.5,1000
DRL-MADRL,42,11,18.807393161482654,2.7242579935674995,90.4,1000
DRL-MADRL,42,12,19.126325847059935,0.6873745814905606,90.9,1000
DRL-MADRL,42,13,18.136078432109652,1.4228827720430381,89.60000000000001,1000
DRL-MADRL,42,14,19.695928839092158,3.7277617482620693,92.0,1000
DRL-MADRL,42,15,19.24347579415746,1.6386407771638059,90.7,1000
DRL-MADRL,42,16,17.548566271746253,0.937655787275675,91.2,1000
DRL-MADRL,42,17,19.386418292232985,1.2356807034725092,92.5,1000
DRL-MADRL,42,18,22.498046623456954,3.073167932576892,90.2,1000
DRL-MADRL,42,19,16.430528524443947,1.558067702618991,93.30000000000001,1000
DRL-MADRL,42,20,18.673636827113718,1.4521956160801797,92.7,1000
DRL-MADRL,42,21,18.382923156715044,1.046602111256572,91.3,1000
DRL-MADRL,42,22,18.890899991435063,1.9305504416501742,91.3,1000
DRL-MADRL,42,23,17.93047293737181,0.7567745193005764,93.0,1000
DRL-MADRL,42,24,19.680218329032453,2.6634342073875525,90.4,1000
DRL-MADRL,42,25,22.652626336881344,5.73741787919984,92.10000000000001,1000
DRL-MADRL,42,26,20.86451885433711,2.7937551073710503,91.2,1000
