method,seed,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,19.16951239659081,2.1006536545330845,91.62,1000.0
DRL-MADRL,43,19.715016881156608,2.1612093653694595,90.58000000000001,1000.0
DRL-MADRL,44,18.58191491728227,2.556986940897443,90.44897897897899,999.9
DRL-MADRL,45,19.184248691415938,3.6436776072783963,90.32820820820822,999.8
DRL-MADRL,46,19.853841990004106,3.9302009111111778,89.61673673673673,999.7
DRL-MADRL-Adaptive,42,18.198512396590814,1.9865299926611832,90.02,1000.0
DRL-MADRL-Adaptive,43,19.38801688115661,1.925226326517268,89.22,1000.0
DRL-MADRL-Adaptive,44,18.957382303839562,2.6063431374331127,87.07860860860862,999.9
DRL-MADRL-Adaptive,45,18.74638272956285,2.16694623475553,89.06,1000.0
DRL-MADRL-Adaptive,46,19.746520895333738,2.5705087627450283,88.07000000000001,1000.0
DRL-MADRL-NPS,42,20.101512396590813,1.904787320066164,90.47,1000.0
DRL-MADRL-NPS,43,19.66751688115661,1.6355129045724386,89.67,1000.0
DRL-MADRL-NPS,44,18.866855031565496,2.7307517999266038,88.82751751751752,999.8
DRL-MADRL-NPS,45,20.192570874162108,3.287918690988662,88.4086986986987,999.9
DRL-MADRL-NPS,46,20.602255008039247,3.542983775282194,88.0587887887888,999.9
PCH,42,19.990012396590814,2.252273724670882,88.16,1000.0
PCH,43,20.30751688115661,2.3119538785921607,88.28,1000.0
PCH,44,19.11595062716109,2.9495398186978083,87.65733733733734,999.8
PCH,45,20.60538272956285,2.6570708520636392,87.09,1000.0
PCH,46,20.524659697254172,2.9686292423072267,86.93721721721721,999.8
