method,seed,episode,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,0,19.148807426411977,1.5977387376742105,90.0,1000
DRL-MADRL,42,1,18.414981525564883,1.431521800809983,89.8,1000
DRL-MADRL,42,2,17.589699244058842,1.1447469682713074,90.3,1000
DRL-MADRL,42,3,17.95019068173961,0.5715551248230325,91.60000000000001,1000
DRL-MADRL,42,4,19.252376770800613,1.5684200728519926,86.9,1000
DRL-MADRL,42,5,18.583118675346924,1.1418694048290061,89.3,1000
DRL-MADRL,42,6,18.141043399540038,0.8715163310756374,90.8,1000
DRL-MADRL,42,7,19.337884368944717,2.4095717480702086,89.4,1000
DRL-MADRL,42,8,22.848654072784818,4.605699189458688,90.2,1000
DRL-MADRL,42,9,19.054634269174567,3.295767175816076,91.5,1000
DRL-MADRL,42,10,17.993642192977486,0.8995061053367776,91.2,1000
DRL-MADRL,42,11,19.00739316148265,1.8593733575775502,90.8,1000
DRL-MADRL,42,12,19.531325847059936,1.4763713104147134,89.4,1000
DRL-MADRL,42,13,18.28607843210965,1.421592749732562,88.8,1000
DRL-MADRL,42,14,17.810928839092153,1.1298344446323982,92.0,1000
DRL-MADRL,42,15,18.37347579415746,0.7981767830267822,89.7,1000
DRL-MADRL,42,16,17.393566271746256,0.9588209702145946,91.0,1000
DRL-MADRL,42,17,18.221418292232986,0.9562008368501361,92.4,1000
DRL-MADRL,42,18,22.628046623456953,2.1364868089986935,90.5,1000
DRL-MADRL,42,19,16.410528524443947,0.5852245030926226,91.4,1000
DRL-MADRL,42,20,18.49363682711372,0.9514265748833225,92.5,1000
DRL-MADRL,42,21,18.177923156715046,1.0044815617712577,91.2,1000
DRL-MADRL,42,22,18.470899991435065,0.6887784037335792,92.2,1000
DRL-MADRL,42,23,17.900472937371816,1.195290010836449,92.7,1000
DRL-MADRL,42,24,19.365218329032455,1.8151450128490472,89.2,1000
DRL-MADRL,42,25,21.692626336881343,6.621988763365347,91.3,1000
DRL-MADRL,42,26,20.21451885433711,4.12588978341475,90.0,1000
DRL-MADRL,42,27,18.90163941869277,2.8361485173978407,91.8,1000
DRL-MADRL,42,28,17.298548577037334,0.775861884888042,92.4,1000
DRL-MADRL,42,29,19.899639537291485,4.616898924109554,91.2,1000
DRL-MADRL,43,0,18.463047233235578,0.862581603038499,90.8,1000
DRL-MADRL,43,1,18.2825002854367,2.12036728617197,89.0,1000
DRL-MADRL,43,2,21.34571118878215,1.2932166417897195,88.5,1000
DRL-MADRL,43,3,18.186451450013212,1.6682996031144486,90.60000000000001,1000
DRL-MADRL,43,4,20.487680273569953,4.072080845660081,92.10000000000001,1000
DRL-MADRL,43,5,18.05524862136534,1.212911864225407,90.9,1000
DRL-MADRL,43,6,18.609175156136565,1.0172946942214338,92.2,1000
DRL-MADRL,43,7,18.62081932469139,1.98005615259518,91.3,1000
DRL-MADRL,43,8,19.055427795596334,1.3529466686447909,90.4,1000
DRL-MADRL,43,9,19.309895616427653,1.2052751576422143,87.4,1000
DRL-MADRL,43,10,19.718210235023378,2.2811460677138857,91.60000000000001,1000
DRL-MADRL,43,11,18.090939179469387,0.9973526954702168,90.60000000000001,1000
DRL-MADRL,43,12,19.144915283223106,0.7397815807357788,88.9,1000
DRL-MADRL,43,13,20.82102015072786,3.1138548351588042,90.7,1000
DRL-MADRL,43,14,17.446391505041564,0.7515892745006493,90.5,1000
DRL-MADRL,43,15,17.886923446656485,7.478518844315182,91.1911911911912,999
DRL-MADRL,43,16,19.819975893048692,2.0879943050771756,91.7,1000
DRL-MADRL,43,17,20.33494884839273,2.989809676395205,89.2,1000
DRL-MADRL,43,18,18.996165468909822,0.903056258701049,89.7,1000
DRL-MADRL,43,19,17.267008675322142,0.7375470325263943,89.7,1000
DRL-MADRL,43,20,18.2285663803358,1.3067938887206236,88.2,1000
DRL-MADRL,43,21,21.81902842198281,1.741894652552404,90.2,1000
DRL-MADRL,43,22,18.373172532810422,1.1098453876598198,90.5,1000
DRL-MADRL,43,23,17.81507318017035,1.4406084394730374,91.0,1000
DRL-MADRL,43,24,23.015497731171475,4.031981296057442,92.30000000000001,1000
DRL-MADRL,43,25,16.668755637033435,0.8227108694523847,92.0,1000
DRL-MADRL,43,26,20.87489561420245,2.981110117498796,91.10000000000001,1000
DRL-MADRL,43,27,17.933330873993665,0.910894230033039,90.8,1000
DRL-MADRL,43,28,20.032841423795166,1.1153145188573281,89.7,1000
DRL-MADRL,43,29,20.149007016070513,1.638909925513476,92.10000000000001,1000
DRL-MADRL,44,0,22.51002740338317,2.857884983773078,88.8,1000
DRL-MADRL,44,1,19.163547534956304,0.8782862068455726,89.0,1000
DRL-MADRL,44,2,21.65270986695078,3.669906755393187,88.9,1000
DRL-MADRL,44,3,18.4848322886912,7.558743244678096,91.7917917917918,999
DRL-MADRL,44,4,20.260332420971707,1.6803977482032004,90.4,1000
DRL-MADRL,44,5,19.41596181255913,2.425133439064139,91.3,1000
DRL-MADRL,44,6,17.034350558494193,7.556094425114136,89.38938938938938,999
DRL-MADRL,44,7,18.549795100406534,1.0251330249996422,90.8,1000
DRL-MADRL,44,8,20.275772216257703,2.985723838740305,91.10000000000001,1000
DRL-MADRL,44,9,18.657171044362283,1.2455380457825718,89.60000000000001,1000
DRL-MADRL,44,10,19.482455522253687,1.7865243822814716,89.4,1000
DRL-MADRL,44,11,16.996049748325515,7.563577477018115,92.09209209209209,999
DRL-MADRL,44,12,18.7536133555899,1.4259359153696247,91.3,1000
DRL-MADRL,44,13,20.115594070221654,1.2276390732595392,89.8,1000
DRL-MADRL,44,14,19.959823040431985,1.4675125572801175,88.5,1000
DRL-MADRL,44,15,21.366768405857062,3.590644374361908,91.3,1000
DRL-MADRL,44,16,21.678767366380814,3.617535300306326,89.7,1000
DRL-MADRL,44,17,18.745653966532345,0.9910011445420915,89.1,1000
DRL-MADRL,44,18,22.326745417667137,3.8683149027124597,90.60000000000001,1000
