method,seed,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,19.041512396590814,2.4631909437249186,91.45000000000002,1000.0
DRL-MADRL,43,19.49101688115661,1.7100063325818353,90.79,1000.0
DRL-MADRL,44,18.20532750403797,2.4304357344913834,90.7478978978979,999.8
DRL-MADRL,45,19.358724405087237,2.574174411423764,90.27906906906907,999.9
DRL-MADRL,46,20.290020895333736,2.774460696357921,89.37,1000.0
DRL-MADRL-NGC,42,18.713012396590816,1.56815511705433,89.43,1000.0
DRL-MADRL-NGC,43,19.60951688115661,2.2164999604677407,89.27,1000.0
DRL-MADRL-NGC,44,18.798917419784775,2.4120173611708777,88.91882882882882,999.9
DRL-MADRL-NGC,45,19.782382729562848,2.960697354559855,88.35999999999999,1000.0
DRL-MADRL-NGC,46,20.159905472163462,3.2590937288698556,89.01775551102205,999.8
DRL-MADRL-NRS,42,18.814012396590815,1.7686767239170824,91.28,1000.0
DRL-MADRL-NRS,43,19.80451688115661,1.9789063506611988,90.51,1000.0
DRL-MADRL-NRS,44,18.65937562298977,1.9596547980530574,90.67999999999999,1000.0
DRL-MADRL-NRS,45,19.621487698785085,3.529724320545816,90.41787787787788,999.8
DRL-MADRL-NRS,46,19.97556710466158,3.3478740359876533,89.89802802802805,999.8
DRL-MADRL-NER,42,18.488945388225456,1.934199015861037,91.289009009009,999.9
DRL-MADRL-NER,43,19.872516881156606,1.804776704863959,90.81,1000.0
DRL-MADRL-NER,44,18.505375622989767,2.2448324387874115,90.44,1000.0
DRL-MADRL-NER,45,19.299236417099248,2.8595561151575057,90.21884884884885,999.9
DRL-MADRL-NER,46,20.388520895333734,2.677295883406524,89.71,1000.0
DRL-MADRL-NPS,42,19.243012396590814,2.0626210144964823,91.06,1000.0
DRL-MADRL-NPS,43,19.38601688115661,1.9686754352233873,89.51,1000.0
DRL-MADRL-NPS,44,18.680896398763753,1.959691954237453,88.58864864864866,999.9
DRL-MADRL-NPS,45,19.745722903585737,2.9954208047649447,89.66901901901902,999.9
DRL-MADRL-NPS,46,19.840955493049968,2.9061260231069066,88.32804804804803,999.8
PCH,42,19.990012396590814,2.252273724670882,88.16,1000.0
PCH,43,20.30751688115661,2.3119538785921607,88.28,1000.0
PCH,44,19.11595062716109,2.9495398186978083,87.65733733733734,999.8
PCH,45,20.60538272956285,2.6570708520636392,87.09,1000.0
PCH,46,20.524659697254172,2.9686292423072267,86.93721721721721,999.8
