method,seed,atct,energy_kwh,sla_pct,tasks_done
Random,42,22.478804958636324,3.021518374330612,81.13,1000.0
Random,43,22.68540675246264,1.993627945441753,81.76,1000.0
Random,44,21.672724292907198,2.6945513021501437,80.75809809809809,999.9
Random,45,22.15779441573091,2.6577507651271244,80.81793793793793,999.9
Random,46,22.74579433843245,3.092924684278385,81.69437052282744,999.7
WeightedRR,42,21.591804958636324,2.1119790809886583,81.53,1000.0
WeightedRR,43,21.387406752462642,1.5986474662347778,82.36999999999999,1000.0
WeightedRR,44,20.937241912526098,3.08911600177498,81.73636636636637,999.8
WeightedRR,45,22.028653091825138,2.2058162013686258,80.85999999999999,1000.0
WeightedRR,46,22.76494424545794,3.2427500299664738,81.20806806806807,999.9
PriorityMinMin,42,21.445221203297404,2.5402980606569305,84.1381981981982,999.9
PriorityMinMin,43,22.072730017788285,2.2720675001967465,84.82867867867868,999.9
PriorityMinMin,44,21.171704505451448,2.364696583444837,83.85830830830831,999.9
PriorityMinMin,45,21.959890685193134,3.1509502281106783,83.56827827827827,999.9
PriorityMinMin,46,22.749919434457222,3.4627866977577346,84.11685685685686,999.8
PCH,42,21.649304958636325,1.8569900997344806,86.35,1000.0
PCH,43,22.349847308118065,2.508438766710518,86.22865865865866,999.9
PCH,44,21.185195496442436,2.594507907001773,85.92852852852852,999.9
PCH,45,21.762441403024514,3.803857502108182,85.6552952952953,999.7
PCH,46,22.716078379592076,2.8273928043350165,85.76836836836837,999.9
PPO,42,22.009304958636324,2.260577327237941,84.37,1000.0
PPO,43,21.945906752462644,1.7919380247746992,85.3,1000.0
PPO,44,21.28405024919591,2.619147292389937,86.35,1000.0
PPO,45,22.57040802934452,3.5041544814872188,81.55804804804804,999.9
PPO,46,23.3448083581335,3.032601589579759,84.27000000000001,1000.0
MADDPG,42,21.241251884200295,2.679083796275166,83.47704704704704,999.8
MADDPG,43,22.099906752462644,1.8186832143651679,84.82,1000.0
MADDPG,44,20.99464421282712,2.902837848162666,84.83843843843844,999.9
MADDPG,45,21.315838960275453,2.3456378281571073,84.96840840840841,999.9
MADDPG,46,23.150808358133496,2.442935242862035,83.9,1000.0
MAPPO,42,21.75078977186597,2.8551170205861984,83.24824824824825,999.9
MAPPO,43,22.386406752462644,2.0241993092729342,84.31,1000.0
MAPPO,44,21.20155024919591,2.198441482276073,85.00999999999999,1000.0
MAPPO,45,21.665702308155012,3.2752486749527465,84.2067067067067,999.8
MAPPO,46,22.203204273033723,2.655942443817061,83.83687374749499,999.8
DRL-MADRL,42,20.906804958636325,1.8470311239620163,88.85,1000.0
DRL-MADRL,43,21.13074568047626,2.7652453479573476,88.21774774774774,999.8
DRL-MADRL,44,20.692132933879876,2.438726770036743,88.01887887887888,999.9
DRL-MADRL,45,20.854045150997855,2.841993499808036,87.71756756756756,999.8
DRL-MADRL,46,21.944176191213977,3.4366995786455603,87.35737737737738,999.8
