metric,reference,compared_to,ref_mean,cmp_mean,ref_better,t,p,alpha_uncorr,alpha_bonf,sig_uncorrected,sig_bonferroni
atct,DRL-MADRL,Random,21.10558098304086,22.348104951633903,True,-4.189778804793525,0.0031231878758790996,0.05,0.0017857142857142859,True,False
energy_kwh,DRL-MADRL,Random,2.6659392640819406,2.6920746142656036,True,-0.08036150613815539,0.9380784367648989,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,Random,88.03231431431429,81.2320813117727,True,20.707861085597926,4.3499569657303394e-08,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,Random,999.86,999.9,False,-0.5897678246190639,0.5730894251592781,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,WeightedRR,21.10558098304086,21.74201019218163,True,-1.6707366928959024,0.13733196531163042,0.05,0.0017857142857142859,False,False
energy_kwh,DRL-MADRL,WeightedRR,2.6659392640819406,2.4496617560667033,False,0.5330225904576535,0.6089381528966845,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,WeightedRR,88.03231431431429,81.5408868868869,True,18.151481123080103,8.745338077686627e-08,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,WeightedRR,999.86,999.9399999999999,False,-1.4142135623714873,0.1950155281005313,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,PriorityMinMin,21.10558098304086,21.879893169237498,True,-2.2039707442905914,0.0600570520581602,0.05,0.0017857142857142859,False,False
energy_kwh,DRL-MADRL,PriorityMinMin,2.6659392640819406,2.758159814033385,True,-0.26367512879530514,0.7987730680351157,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,PriorityMinMin,88.03231431431429,84.10206406406408,True,12.0387233436909,2.7339958718537317e-06,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,PriorityMinMin,999.86,999.8799999999999,False,-0.4472135954969074,0.670715725788842,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,PCH,21.10558098304086,21.932573509162683,True,-2.37090388276246,0.04635326135720684,0.05,0.0017857142857142859,True,False
energy_kwh,DRL-MADRL,PCH,2.6659392640819406,2.718237415977994,True,-0.12780911244431392,0.9015652044308127,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,PCH,88.03231431431429,85.98617017017017,True,7.213519687381848,0.00034033712628802015,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,PCH,999.86,999.8799999999999,False,-0.31622776601476177,0.7602394707141578,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,PPO,21.10558098304086,22.23089566955458,True,-2.7452807606008216,0.02949119245476495,0.05,0.0017857142857142859,True,False
energy_kwh,DRL-MADRL,PPO,2.6659392640819406,2.6416837430939113,False,0.061395024785983666,0.9525758487102546,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,PPO,88.03231431431429,84.3696096096096,True,4.384012604046338,0.007891213819414744,0.05,0.0017857142857142859,True,False
tasks_done,DRL-MADRL,PPO,999.86,999.9799999999999,False,-2.6832815729966972,0.03708968272320709,0.05,0.0017857142857142859,True,False
atct,DRL-MADRL,MADDPG,21.10558098304086,21.7604900335798,True,-1.4500591053894463,0.19498431697841853,0.05,0.0017857142857142859,False,False
energy_kwh,DRL-MADRL,MADDPG,2.6659392640819406,2.4378355859644287,False,0.7171319854182249,0.4960009739298419,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,MADDPG,88.03231431431429,84.40077877877877,True,9.297372257117695,1.7817935841554467e-05,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,MADDPG,999.86,999.9200000000001,False,-1.0954451150111624,0.3053380978753634,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,MAPPO,21.10558098304086,21.84153067094265,True,-2.4171636214242587,0.04212342986413529,0.05,0.0017857142857142859,True,False
energy_kwh,DRL-MADRL,MAPPO,2.6659392640819406,2.6017897861810027,False,0.18619022727563153,0.8570233453267664,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,MAPPO,88.03231431431429,84.12236574048998,True,10.20908579296592,8.412421410545738e-06,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,MAPPO,999.86,999.9,False,-0.6666666666659088,0.5239678158366547,0.05,0.0017857142857142859,False,False
