method,seed,atct,energy_kwh,sla_pct,tasks_done
Random,42,26.95099586363263,5.607276120731674,73.07,1000.0
Random,43,29.921175246264404,6.37955824718854,71.28,1000.0
Random,44,26.59578534670362,6.003261832555646,71.97418418418417,999.8
Random,45,27.76140563291898,5.742822057561825,71.4370870870871,999.9
Random,46,28.592767388637373,6.949181754587306,73.33742742742743,999.9
WeightedRR,42,21.678495863632634,4.987122826489605,81.46000000000001,1000.0
WeightedRR,43,22.0151752462644,4.89334246205363,81.96000000000001,1000.0
WeightedRR,44,21.322032393822536,5.614004188072864,80.99822822822823,999.9
WeightedRR,45,22.249309182513997,5.54304034044253,81.21,1000.0
WeightedRR,46,22.84304566691565,6.45884542333076,81.8582082082082,999.9
PriorityMinMin,42,12.716995863632631,4.35492951607103,96.13999999999999,1000.0
PriorityMinMin,43,12.812675246264396,4.247095415201825,96.96000000000001,1000.0
PriorityMinMin,44,12.870024919590719,4.8583775798684865,96.64,1000.0
PriorityMinMin,45,12.697309182513994,4.671213742795854,97.24000000000001,1000.0
PriorityMinMin,46,13.478335813349934,4.809499864524534,97.17999999999999,1000.0
PCH,42,11.837995863632633,4.310953797062576,97.39,1000.0
PCH,43,11.983175246264398,4.220901319080934,97.46000000000001,1000.0
PCH,44,11.856524919590719,4.742215118838805,97.51,1000.0
PCH,45,11.959309182513994,4.560386609539401,97.35,1000.0
PCH,46,12.818335813349933,4.729653702476616,97.69,1000.0
PPO,42,13.555495863632634,4.585236068253627,96.32,1000.0
PPO,43,12.814675246264397,4.231512716108809,97.04,1000.0
PPO,44,12.49602491959072,4.749721109178279,97.02000000000001,1000.0
PPO,45,13.162309182513997,5.260191835554124,96.42999999999999,1000.0
PPO,46,14.160061648457699,5.51094147942853,96.70976976976978,999.9
MADDPG,42,17.22599586363263,5.165249514900233,90.07000000000001,1000.0
MADDPG,43,19.191175246264397,4.823305442227405,85.67,1000.0
MADDPG,44,21.088524919590718,5.3860493089927814,82.38000000000001,1000.0
MADDPG,45,19.583644872158224,6.086742295007841,85.9593993993994,999.9
MADDPG,46,20.210835813349934,5.646928308331354,88.42,1000.0
MAPPO,42,12.940995863632633,4.542934043270603,96.72999999999999,1000.0
MAPPO,43,13.960675246264397,4.336419642137809,95.03,1000.0
MAPPO,44,15.17152491959072,5.119431887891578,93.15,1000.0
MAPPO,45,15.478422053571396,5.513349567708868,91.62856856856857,999.9
MAPPO,46,15.786335813349936,5.168016162436814,93.64,1000.0
DRL-MADRL,42,12.309495863632634,4.338375396241847,96.87000000000002,1000.0
DRL-MADRL,43,12.529175246264398,4.22897998865722,96.91,1000.0
DRL-MADRL,44,12.034024919590722,4.685214586761818,97.42,1000.0
DRL-MADRL,45,12.252309182513995,4.623180083683864,97.16,1000.0
DRL-MADRL,46,13.531835813349932,4.811444462335732,96.97,1000.0
