method,seed,episode,atct,energy_kwh,sla_pct,tasks_done
Random,42,0,21.87380742641198,1.611117990384744,81.89999999999999,1000
Random,42,1,21.74498152556488,0.7543736241156285,79.2,1000
Random,42,2,21.584699244058843,1.9269317370501027,78.9,1000
Random,42,3,21.765190681739607,0.8924159965302174,79.4,1000
Random,42,4,21.067376770800614,0.6823120284552622,78.5,1000
Random,42,5,21.748118675346923,1.6626972273198566,80.0,1000
Random,42,6,21.40604339954004,1.176599640401015,79.2,1000
Random,42,7,22.74288436894472,3.4781106567213054,78.3,1000
Random,42,8,24.94836531989994,7.598970462816216,81.18118118118119,999
Random,42,9,24.979634269174564,6.027302245096217,80.80000000000001,1000
Random,42,10,23.603642192977485,4.267106983697425,80.2,1000
Random,42,11,23.032393161482652,2.7389644356389917,78.10000000000001,1000
Random,42,12,22.331325847059937,2.430973488774522,81.8,1000
Random,42,13,22.18107843210965,2.750091445363417,79.3,1000
Random,42,14,23.870928839092155,3.341310346746936,78.8,1000
Random,42,15,22.94847579415746,1.2817993240988848,78.9,1000
Random,42,16,21.78356627174626,1.0261630640835777,79.5,1000
Random,42,17,22.151418292232986,1.7214054982942342,80.30000000000001,1000
Random,42,18,24.248046623456954,1.3860388629036888,80.80000000000001,1000
Random,42,19,21.155528524443945,3.7532077818103136,79.2,1000
Random,42,20,23.263636827113718,2.032065652958803,82.19999999999999,1000
Random,42,21,23.59292315671505,2.2346810601843234,80.60000000000001,1000
Random,42,22,21.685899991435065,0.8155579991422726,78.8,1000
Random,42,23,22.33547293737181,2.1198816286034785,79.60000000000001,1000
Random,42,24,21.565218329032454,1.0440382539377564,79.3,1000
Random,42,25,23.88262633688134,3.3734723967646154,79.80000000000001,1000
Random,42,26,22.48951885433711,3.0791326521248794,80.10000000000001,1000
Random,42,27,20.941639418692773,1.3097979583363077,79.60000000000001,1000
Random,42,28,20.848548577037334,0.8997708882526875,79.10000000000001,1000
Random,42,29,23.739639537291485,4.629326648730052,79.2,1000
Random,43,0,22.537147448930245,7.493990780703914,80.28028028028028,999
Random,43,1,20.807500285436703,0.9312889442472048,81.3,1000
Random,43,2,23.385711188782157,2.2266961250550033,79.7,1000
Random,43,3,23.49145145001321,2.307324765498406,77.9,1000
Random,43,4,22.297680273569952,2.2561128765274683,81.89999999999999,1000
Random,43,5,21.09524862136534,1.105464156100678,79.3,1000
Random,43,6,23.144175156136566,1.7030284568699212,80.30000000000001,1000
Random,43,7,22.73581932469139,2.3046142905745564,79.9,1000
Random,43,8,23.68042779559633,2.15737732872279,79.4,1000
Random,43,9,22.674895616427655,1.5493408055821982,80.0,1000
Random,43,10,22.878102039936767,7.511580128839081,78.27827827827828,999
Random,43,11,21.865939179469382,1.5713801465071913,80.60000000000001,1000
Random,43,12,23.1349152832231,2.061426069312525,78.7,1000
Random,43,13,23.811020150727863,1.946814902079231,80.5,1000
Random,43,14,21.421391505041566,0.8282605144635872,79.5,1000
Random,43,15,22.151187710920752,7.489560347229161,76.77677677677679,999
Random,43,16,22.809975893048687,1.1929670388180442,78.10000000000001,1000
Random,43,17,22.924948848392734,1.4738817138515867,77.8,1000
Random,43,18,24.521165468909814,2.191813294958632,77.7,1000
Random,43,19,21.877008675322145,3.8223069465237707,80.9,1000
Random,43,20,22.9835663803358,2.2906628156765234,78.7,1000
Random,43,21,24.719028421982813,1.9602176687460477,80.2,1000
Random,43,22,21.728172532810422,1.0137150514551372,78.9,1000
Random,43,23,22.790073180170353,1.2135536132302456,77.7,1000
Random,43,24,27.835497731171476,3.2692919372305522,80.60000000000001,1000
Random,43,25,20.51375563703343,1.679940195753533,81.39999999999999,1000
Random,43,26,21.71894253862105,7.482628847278074,80.88088088088088,999
Random,43,27,22.05833087399367,1.7675271543570532,78.60000000000001,1000
Random,43,28,23.292841423795167,1.018285590095789,78.5,1000
Random,43,29,21.799007016070515,1.0672154032874643,82.39999999999999,1000
Random,44,0,29.71002740338317,6.587126889824501,78.2,1000
Random,44,1,21.368547534956306,0.5923045167383225,80.10000000000001,1000
Random,44,2,25.02770986695078,3.673077437617349,80.2,1000
Random,44,3,22.704051507910417,7.56918308078963,81.48148148148148,999
Random,44,4,24.915332420971705,1.7376195925872806,80.10000000000001,1000
Random,44,5,22.490961812559128,2.364759278088034,80.0,1000
Random,44,6,20.958274482418116,7.57863595086004,79.17917917917919,999
Random,44,7,21.574795100406533,1.0657659203356185,79.0,1000
Random,44,8,24.150772216257703,1.6333055125108829,78.3,1000
Random,44,9,21.407171044362286,1.633757145608382,80.30000000000001,1000
