method,seed,episode,atct,energy_kwh,sla_pct,tasks_done
Random,42,0,25.35229705647856,4.105489329544905,76.8,1000
Random,42,1,25.549261022596077,5.206009859802267,75.7,1000
Random,42,2,25.662969762355146,5.755403132978196,72.8,1000
Random,42,3,27.257627269583462,4.627399370410108,73.5,1000
Random,42,4,24.58007083202374,4.66105219945105,72.0,1000
Random,42,5,27.529747013876985,5.238873837998342,73.1,1000
Random,42,6,24.321735981601307,5.378689663356648,74.5,1000
Random,42,7,26.810374757787898,4.298540715279029,71.89999999999999,1000
Random,42,8,30.34116291139459,8.368260744631103,73.8,1000
Random,42,9,24.25927865780972,11.738083027870319,72.37237237237237,999
Random,42,10,25.925687719100686,4.849828233137241,73.5,1000
Random,42,11,26.100726459306273,4.296677147059684,71.6,1000
Random,42,12,25.50803388239853,5.4778160102294855,74.8,1000
Random,42,13,24.97313728438598,4.626048109510368,72.0,1000
Random,42,14,26.6071535636867,5.231908836567974,72.5,1000
Random,42,15,27.804031766298955,5.801200467445464,73.8,1000
Random,42,16,27.032650869849444,4.131546087268729,71.5,1000
Random,42,17,28.851731689320495,10.63401405326024,74.9,1000
Random,42,18,28.321864938276544,4.675565291234913,75.2,1000
Random,42,19,23.57114097775832,4.670792033117781,73.9,1000
Random,42,20,27.810473084548544,4.873849537947576,74.0,1000
Random,42,21,26.04692626860123,4.5778475792819595,73.6,1000
Random,42,22,27.060999657401254,4.740242770809348,72.3,1000
Random,42,23,26.25391749487307,4.4554501260782455,71.8,1000
Random,42,24,25.978733161298106,4.757738056728402,72.1,1000
Random,42,25,29.350053475253933,7.199834281001536,75.0,1000
Random,42,26,27.855754173485888,7.0351015824828185,74.3,1000
Random,42,27,25.430576747711616,4.956767842331514,74.7,1000
Random,42,28,25.27194308149322,4.410353156523198,70.1,1000
Random,42,29,28.450581491659467,9.065576274132145,72.8,1000
Random,42,30,27.330611074673055,5.572175679752804,72.3,1000
Random,42,31,25.581130362230557,4.436105797575828,76.0,1000
Random,42,32,24.50036595587685,4.95702813505345,72.5,1000
Random,42,33,26.485918995344022,4.88252425962978,73.3,1000
Random,42,34,25.377200161877763,5.552043652585496,75.6,1000
Random,42,35,24.733528356060532,5.319993334635082,75.0,1000
Random,42,36,25.072909813876926,4.647925908346736,72.7,1000
Random,42,37,29.285090301332936,5.448034980576948,73.4,1000
Random,42,38,26.111528081153846,4.931229307291526,72.5,1000
Random,42,39,26.6308570579233,5.680949792308603,75.4,1000
Random,42,40,29.788437265804276,5.29876886885809,70.7,1000
Random,42,41,27.553381218183002,11.80732222527206,72.17217217217218,999
Random,42,42,27.1912867837572,4.352962992186762,73.6,1000
Random,42,43,28.313150989941118,4.3706001997834445,75.2,1000
Random,42,44,25.939468318791,4.294401794009237,73.5,1000
Random,42,45,24.03980897594915,4.511890999761033,72.5,1000
Random,42,46,25.79567645133375,4.272378538336196,75.5,1000
Random,42,47,29.57752745079724,9.946919032708376,73.7,1000
Random,42,48,25.318754018309562,11.787675484779287,71.27127127127127,999
Random,42,49,28.83788778020766,7.821329086637278,74.7,1000
Random,42,50,26.90666486167586,4.679921669556431,73.1,1000
Random,42,51,29.390425411112464,4.714865685323428,74.5,1000
Random,42,52,25.02164255030123,4.400040873576548,73.4,1000
Random,42,53,28.910114503661383,5.023307585846681,73.5,1000
Random,42,54,27.76467736070461,5.026579553538313,74.5,1000
Random,42,55,27.36714873857945,5.075163434936829,72.89999999999999,1000
Random,42,56,25.200523261531135,6.248634888396521,73.5,1000
Random,42,57,26.718333728563852,7.150384624773029,74.5,1000
Random,42,58,26.745292513116322,4.8899496298885685,72.39999999999999,1000
Random,42,59,28.842344181832388,7.069215811905536,73.9,1000
Random,42,60,27.238545631495327,5.237369239054848,70.8,1000
Random,42,61,26.979015800035885,5.785480759360264,72.7,1000
Random,42,62,26.618452264783226,4.277324655824053,70.8,1000
Random,42,63,24.986151309251188,4.760248260495642,75.7,1000
Random,42,64,24.124323589801424,4.4939655586775356,76.9,1000
Random,42,65,26.988657487483092,4.823647362126531,75.3,1000
Random,42,66,25.77567915398808,4.70899735994728,73.7,1000
Random,42,67,27.203621667229125,5.395327444380959,73.2,1000
Random,42,68,26.514972485828277,4.999231227841257,74.0,1000
Random,42,69,26.844641711750977,6.020248439000634,75.1,1000
Random,42,70,27.62073277392063,7.3434801039393305,73.7,1000
Random,42,71,26.800591503760426,5.226699006331206,72.8,1000
Random,42,72,24.13775411145875,4.057272193802545,74.4,1000
Random,42,73,25.206177873465357,4.423316746071604,70.7,1000
Random,42,74,27.65000880283046,9.362878730981393,74.1,1000
Random,42,75,27.02109580461073,4.653803520515585,75.5,1000
Random,42,76,26.096643128456794,5.257245960309694,74.8,1000
Random,42,77,27.13949844705944,5.303645961574665,71.7,1000
Random,42,78,24.757532199584,11.651285793404636,74.27427427427428,999
Random,42,79,26.95535577503476,4.757499481425801,69.69999999999999,1000
Random,42,80,29.94651720543937,8.215040701265963,75.8,1000
Random,42,81,25.96361741700037,5.168058140621983,71.2,1000
Random,42,82,27.0383261728051,4.5516657119048505,74.6,1000
Random,42,83,28.34585352658932,11.601912878218295,74.07407407407408,999
Random,42,84,24.264666341189937,4.645808487741769,72.7,1000
Random,42,85,25.97740947185458,4.245997821884158,75.0,1000
Random,42,86,28.68409525588736,5.6016572467590935,72.6,1000
Random,42,87,27.020279669277365,4.521681817466172,74.4,1000
Random,42,88,31.228604263149595,6.406665437781278,72.2,1000
Random,42,89,27.200517559641828,5.276618486017835,74.9,1000
Random,42,90,26.392845537816804,5.805833961584231,77.3,1000
Random,42,91,26.43535562882755,11.755982908595506,73.67367367367368,999
Random,42,92,27.338022175328884,11.503838386792106,72.97297297297297,999
Random,42,93,27.76133113668001,5.296959613811583,72.7,1000
Random,42,94,25.278268528888844,5.273111700966613,75.7,1000
Random,42,95,26.569743099903864,5.361287817763936,75.5,1000
Random,42,96,26.604318667811743,5.581284534100616,76.0,1000
Random,42,97,27.200909528560356,4.614054526704356,73.0,1000
Random,42,98,27.12873495197993,4.736401666762171,72.39999999999999,1000
Random,42,99,26.85505570579136,5.126562507760903,73.7,1000
Random,42,100,28.652750341676725,6.022865757390184,73.7,1000
Random,42,101,28.732183736216296,7.8940486041581535,75.3,1000
Random,42,102,25.397025674337943,4.911074028064255,70.89999999999999,1000
Random,42,103,26.155240154745698,4.76128981670716,74.2,1000
Random,42,104,28.92279656884844,8.65246165248037,71.5,1000
Random,42,105,25.78215660589432,11.673500463305814,70.97097097097097,999
Random,42,106,27.7029035222951,8.524699832009563,72.7,1000
Random,42,107,28.70583649616426,6.6202056672786345,72.89999999999999,1000
Random,42,108,26.407948614088745,5.832828439208673,72.7,1000
Random,42,109,31.04316136675594,8.31036452364468,71.1,1000
Random,42,110,25.871683888106617,11.6174695118654,74.57457457457457,999
Random,42,111,26.628617132564948,4.995245315742986,76.0,1000
Random,42,112,26.49494541558498,5.493898151220668,69.5,1000
Random,42,113,28.570898590880613,6.069128364489687,74.2,1000
Random,42,114,26.249254141154015,5.793836015280311,73.0,1000
Random,42,115,26.776607657438937,4.7207378260697395,74.5,1000
Random,42,116,26.526385545568612,6.757563406279761,73.5,1000
Random,42,117,29.619830325115107,6.316232082872003,73.8,1000
Random,42,118,28.919024038368747,11.467298309742322,72.57257257257257,999
Random,42,119,26.66006854983945,6.497773891309208,73.3,1000
Random,42,120,27.80742943337733,4.968373213042168,73.9,1000
Random,42,121,25.920861602327502,4.447977738031106,72.3,1000
Random,42,122,24.65483378669004,4.190689098856676,73.0,1000
Random,42,123,27.022258502714767,4.451626768470571,74.3,1000
Random,42,124,27.3988714099723,5.09062207636347,72.3,1000
Random,42,125,24.677758460580147,4.985434252767269,73.9,1000
Random,42,126,27.039131678082697,6.22025375152612,71.0,1000
Random,42,127,27.755300580645017,4.627065255406683,75.1,1000
Random,42,128,29.550949469294512,6.534536512010958,72.5,1000
Random,42,129,27.372610901834783,5.750378268025928,72.39999999999999,1000
Random,42,130,30.02560690968328,5.391043456878053,71.39999999999999,1000
Random,42,131,27.761053679911058,4.425804017486734,74.8,1000
Random,42,132,27.441487564709284,6.787079804571473,74.2,1000
Random,42,133,23.54907183406101,4.449304610422714,73.4,1000
Random,42,134,27.567607198586156,5.553494628150637,74.4,1000
Random,42,135,28.338106286204457,7.606534356158665,76.1,1000
Random,42,136,27.738662157441304,6.935809787858968,73.9,1000
Random,42,137,28.06790387367847,9.159656832663968,76.9,1000
Random,42,138,26.937528162147125,5.279739848261838,73.7,1000
Random,42,139,28.918609946199144,8.321879524489155,71.5,1000
Random,42,140,26.011763112721688,4.2365778207729194,73.5,1000
Random,42,141,25.22344293721863,4.148101674422582,73.4,1000
Random,42,142,31.75472125128904,7.260176679600648,73.8,1000
Random,42,143,26.29563291530707,4.609400204989815,74.2,1000
Random,42,144,26.634729659572887,4.361532852742809,74.8,1000
Random,42,145,25.99815140995285,4.609392707186139,75.1,1000
Random,42,146,28.337883115983292,4.169265599935692,73.6,1000
Random,42,147,23.27196251614989,4.218281242238665,74.2,1000
Random,42,148,26.13217119128381,6.610905447221563,73.5,1000
Random,42,149,27.08556988797315,4.546443000493851,73.4,1000
Random,42,150,28.185223135313706,4.6156732058935965,71.0,1000
Random,42,151,24.189120637484653,4.39082904721645,75.6,1000
Random,42,152,30.15038820238768,6.454116055383207,73.3,1000
Random,42,153,29.7953696637566,8.363082611136416,72.0,1000
Random,42,154,26.533228577501372,4.388076854213795,72.39999999999999,1000
Random,42,155,26.368442443368863,11.686610006555222,73.87387387387388,999
Random,42,156,27.443633805800083,9.654717016540902,72.0,1000
Random,42,157,26.169188422917788,5.565933928449323,74.0,1000
Random,42,158,26.948622309142422,4.646661751110397,71.8,1000
Random,42,159,26.86387016269155,11.701370920958423,74.97497497497497,999
Random,42,160,34.25428479631452,8.794084870346834,73.5,1000
Random,42,161,28.53847698488357,4.71733681716647,73.4,1000
Random,42,162,24.773154861074595,4.454169957950541,72.7,1000
Random,42,163,26.77768935067415,5.99325817731372,72.8,1000
Random,42,164,28.638432539329145,5.683408284781806,76.4,1000
Random,42,165,32.40478810677005,5.301051590281374,73.0,1000
Random,42,166,24.767254794692388,4.367576020889021,74.5,1000
Random,42,167,29.37136954177332,4.573712372481937,73.9,1000
Random,42,168,27.70105286455952,11.835376612819553,74.67467467467468,999
Random,42,169,26.053723837532594,5.022014433730583,76.5,1000
Random,42,170,25.584094719925478,5.368546065319022,74.4,1000
Random,42,171,24.954862735331968,4.92302048985716,73.8,1000
Random,42,172,25.667127195020342,11.6740419328731,69.46946946946947,999
Random,42,173,27.72176852388422,11.740644566868328,74.17417417417418,999
Random,42,174,27.810633177063664,6.863064277227642,74.2,1000
Random,42,175,25.814983249368407,5.068259425993204,73.1,1000
Random,42,176,26.362983799494796,5.400643234645562,74.2,1000
Random,42,177,26.041221719984577,6.201411402010862,73.5,1000
Random,42,178,25.324782269631246,4.346936514461694,73.1,1000
Random,42,179,25.76294525816004,4.6376213786701115,74.6,1000
Random,42,180,27.243363310648256,5.571652954175392,75.5,1000
Random,42,181,25.416326907207235,4.675258536695418,75.2,1000
Random,42,182,28.536235561724833,6.881255678744757,72.89999999999999,1000
Random,42,183,28.267215131739412,6.3114742735098925,72.3,1000
Random,42,184,25.940334956545016,4.6474508115787945,73.9,1000
Random,42,185,26.292365962250575,4.4928127061301435,73.8,1000
Random,42,186,27.838452734294385,4.696985486492688,70.6,1000
Random,42,187,26.656468377932562,11.52526244889472,74.57457457457457,999
Random,42,188,26.62319578283555,4.362933893727052,74.0,1000
Random,42,189,25.153297304655343,11.730280157777957,72.17217217217218,999
Random,42,190,29.334875177682342,5.651548825195971,75.7,1000
Random,42,191,26.44639033517425,4.704147778373513,73.6,1000
Random,42,192,27.573390551589117,4.701674651169561,71.0,1000
Random,42,193,25.09231234142956,4.665897024645567,73.9,1000
Random,42,194,27.641905603611114,4.340917973655943,72.5,1000
Random,42,195,26.32737991429469,4.4335702619000825,73.9,1000
Random,42,196,27.659678037391487,4.4363878679248065,71.89999999999999,1000
Random,42,197,29.779197798132852,8.454038513203527,74.0,1000
Random,42,198,24.193303500939976,4.339079332204388,73.0,1000
Random,42,199,26.284072458222383,4.525456128619988,72.0,1000
Random,43,0,27.50188932942234,4.498191836487771,71.3,1000
Random,43,1,25.980011417468305,4.3990376839078005,73.4,1000
Random,43,2,29.143447551285746,4.3518119203522385,71.39999999999999,1000
Random,43,3,29.028058000528553,4.616492793989441,69.39999999999999,1000
Random,43,4,26.842210942798957,4.319279606063037,74.1,1000
Random,43,5,25.699944854614234,4.1230436618000885,70.3,1000
Random,43,6,29.442006245462814,6.387662112344253,72.89999999999999,1000
Random,43,7,29.297772987655705,8.31376752101099,72.39999999999999,1000
Random,43,8,27.437111823853392,4.526908874458556,72.5,1000
Random,43,9,27.580824657106067,5.946319575987612,72.5,1000
Random,43,10,28.898409400935023,6.3214192547209755,70.3,1000
Random,43,11,27.947567178775135,4.479753725734939,71.7,1000
Random,43,12,26.59661132892355,4.222477952114866,70.3,1000
Random,43,13,30.6358060291141,5.009638585192091,72.39999999999999,1000
Random,43,14,26.210660201661707,4.339343314776511,71.2,1000
Random,43,15,30.318755217727745,7.530098426382679,69.39999999999999,1000
Random,43,16,29.819035721947923,5.243889799617931,69.0,1000
Random,43,17,26.95795393570835,5.765423402961282,72.1,1000
Random,43,18,27.741618756394033,4.622331557326602,71.0,1000
Random,43,19,24.9003470128854,4.25896807686779,72.3,1000
Random,43,20,27.6126552134315,4.8821293936219865,71.3,1000
Random,43,21,32.46113687931295,8.661495513854913,71.8,1000
Random,43,22,28.65190131241567,5.824000960889217,71.6,1000
Random,43,23,27.24792720681431,5.010786463204719,69.89999999999999,1000
Random,43,24,35.2649092468582,11.475979873156579,71.7,1000
Random,43,25,27.640225481337865,4.510188942631257,71.39999999999999,1000
Random,43,26,34.22582456809851,9.170576187156835,72.39999999999999,1000
Random,43,27,27.133234959746545,4.882601569129932,70.6,1000
Random,43,28,30.05865695180772,4.419598534876101,68.4,1000
Random,43,29,28.91528064282071,4.958225033363867,73.7,1000
Random,43,30,30.73513640698061,6.291562118446492,73.7,1000
Random,43,31,31.176950597628302,11.392857703382697,72.0,1000
Random,43,32,25.24734112233546,5.372537421921431,71.8,1000
Random,43,33,27.147979135231857,4.510449879564297,74.1,1000
Random,43,34,28.741242770307377,6.248269690648666,72.6,1000
Random,43,35,28.30754833078467,7.92542119043375,72.5,1000
Random,43,36,25.490801410152287,4.8084292439338645,72.39999999999999,1000
Random,43,37,28.42744961613468,11.65486941092266,70.57057057057057,999
Random,43,38,29.838791670710467,5.628845792172904,71.89999999999999,1000
Random,43,39,33.167174032216614,6.684487984906396,73.1,1000
Random,43,40,25.975243109121553,4.713776311236774,72.2,1000
Random,43,41,30.015740472399987,5.897671501205903,72.39999999999999,1000
Random,43,42,27.694376100541888,11.51514036909486,70.47047047047047,999
Random,43,43,29.83830546418445,4.870094293708085,72.0,1000
Random,43,44,25.75791668349477,4.527977160430914,71.5,1000
Random,43,45,28.902971237226016,5.469965736229284,72.7,1000
Random,43,46,25.7815640114752,4.274671701333998,70.19999999999999,1000
Random,43,47,26.949209364450663,4.5282020218868935,70.19999999999999,1000
Random,43,48,26.16665795227846,4.219420695893633,71.39999999999999,1000
Random,43,49,27.137544290308018,4.385401511692598,73.4,1000
Random,43,50,28.19842707972794,5.2068783344495015,69.3,1000
Random,43,51,27.009486389504733,11.489997672920223,74.67467467467468,999
Random,43,52,27.47868763946693,5.256537542520318,73.1,1000
Random,43,53,28.096850938596006,5.556086157547003,76.1,1000
Random,43,54,30.545016073931883,7.168713866195147,73.1,1000
Random,43,55,26.563113412968953,4.116891224891226,69.6,1000
Random,43,56,27.121026442099712,4.385041336723088,72.7,1000
Random,43,57,25.897969128888807,4.200926576200791,73.1,1000
Random,43,58,27.91439256179728,6.336760620066912,71.0,1000
Random,43,59,26.561240372570975,4.99407656370839,72.0,1000
Random,43,60,29.081259108431848,4.711369954807034,71.2,1000
Random,43,61,24.74257352475816,4.954294352881667,69.89999999999999,1000
Random,43,62,32.19393292618294,8.035589124156004,70.19999999999999,1000
Random,43,63,27.48159634579376,4.630560623215588,72.0,1000
Random,43,64,24.074368239189738,11.584970918157081,71.57157157157157,999
Random,43,65,34.58135600545364,11.065519247849418,72.39999999999999,1000
