method,seed,atct,energy_kwh,sla_pct,tasks_done
Random,42,26.914988087415043,5.757404265231008,73.32233733733734,999.9
Random,43,29.338378049790748,7.055029179000141,71.97712212212214,999.9
Random,44,28.2646365719176,6.4103632055539235,72.27728728728728,999.9
Random,45,29.086031765264682,6.683521635618495,71.50724224224224,999.9
Random,46,27.638610639952777,5.496969425245915,73.475,1000.0
WeightedRR,42,21.862483182107063,5.205024614993553,81.84,1000.0
WeightedRR,43,22.048760620876877,5.8965920286451645,81.58822322322321,999.9
WeightedRR,44,22.72881307076785,6.672318404947293,81.1072922922923,999.85
WeightedRR,45,22.53349430953277,5.6049301660382795,81.39000000000001,1000.0
WeightedRR,46,21.870860639952774,5.074599311896641,81.66999999999999,1000.0
PriorityMinMin,42,12.890483182107062,4.6033228004466125,96.10999999999999,1000.0
PriorityMinMin,43,13.263606176462227,4.975909247123851,97.02,1000.0
PriorityMinMin,44,13.16756314572505,4.952428575620238,96.8297897897898,999.95
PriorityMinMin,45,12.927244309532767,4.58586996726608,97.25999999999998,1000.0
PriorityMinMin,46,12.918360639952775,4.392692881995173,97.10000000000001,1000.0
PPO,42,13.543733182107065,4.639663816479311,96.62,1000.0
PPO,43,12.955856176462223,4.965134774301982,97.29499999999999,1000.0
PPO,44,12.523542875454776,4.842690277314702,97.43482482482483,999.95
PPO,45,13.063244309532767,4.696514933737487,96.525,1000.0
PPO,46,13.545360639952776,4.401132277997743,96.19,1000.0
MADDPG,42,15.549733182107062,4.965370188331126,93.53,1000.0
MADDPG,43,15.865856176462225,5.132129822528778,94.45499999999998,1000.0
MADDPG,44,14.732050980668527,5.342819685362182,94.68911911911911,999.9
MADDPG,45,15.363744309532766,4.872657446176051,92.99,1000.0
MADDPG,46,17.968436216034547,4.81446450440145,87.56958458458459,999.95
MAPPO,42,13.251233182107066,4.660451790580909,96.55499999999999,1000.0
MAPPO,43,14.052606176462223,5.0211207714754105,95.225,1000.0
MAPPO,44,13.01805438696629,4.8780114995024535,97.05481481481482,999.95
MAPPO,45,13.290244309532767,4.749910906009276,96.2,1000.0
MAPPO,46,14.936360639952778,4.8011628043905805,94.30999999999999,1000.0
DRL-MADRL,42,11.837733182107065,4.476658835944546,97.465,1000.0
DRL-MADRL,43,12.221106176462225,4.866753470796028,97.505,1000.0
DRL-MADRL,44,12.248258547478716,4.808569993284339,97.58500000000001,1000.0
DRL-MADRL,45,12.16549430953277,4.508191384807605,97.425,1000.0
DRL-MADRL,46,12.392360639952775,4.356429573000589,97.41000000000003,1000.0
