metric,reference,compared_to,ref_mean,cmp_mean,ref_better,t,p,alpha_uncorr,alpha_bonf,sig_uncorrected,sig_bonferroni
atct,DRL-MADRL,Random,12.17299057110671,28.248529022868166,True,-35.044963578103314,1.7475124501183812e-06,0.05,0.0020833333333333333,True,True
energy_kwh,DRL-MADRL,Random,4.603320651566621,6.280657542129897,True,-5.493846285546083,0.0028416035611417557,0.05,0.0020833333333333333,True,False
sla_pct,DRL-MADRL,Random,97.47800000000001,72.5117977977978,True,64.95673166501417,2.848905314952227e-07,0.05,0.0020833333333333333,True,True
tasks_done,DRL-MADRL,Random,1000.0,999.9200000000001,True,3.999999999995452,0.01613008990015356,0.05,0.0020833333333333333,True,False
atct,DRL-MADRL,WeightedRR,12.17299057110671,22.20888236464747,True,-50.04986544778612,4.469500746053117e-09,0.05,0.0020833333333333333,True,True
energy_kwh,DRL-MADRL,WeightedRR,4.603320651566621,5.690692905304187,True,-3.5983266964143144,0.015806772375344374,0.05,0.0020833333333333333,True,False
sla_pct,DRL-MADRL,WeightedRR,97.47800000000001,81.51910310310309,True,123.02344466188102,4.166416878921426e-09,0.05,0.0020833333333333333,True,True
tasks_done,DRL-MADRL,WeightedRR,1000.0,999.95,True,1.5811388300828415,0.18900365845547584,0.05,0.0020833333333333333,False,False
atct,DRL-MADRL,PriorityMinMin,12.17299057110671,13.033451490755976,True,-7.214730211461147,0.00010774204618965109,0.05,0.0020833333333333333,True,True
energy_kwh,DRL-MADRL,PriorityMinMin,4.603320651566621,4.702044694490391,True,-0.6551050530107609,0.5310843247852632,0.05,0.0020833333333333333,False,False
sla_pct,DRL-MADRL,PriorityMinMin,97.47800000000001,96.86395795795796,True,3.020928615571774,0.036784827169845415,0.05,0.0020833333333333333,True,False
tasks_done,DRL-MADRL,PriorityMinMin,1000.0,999.99,True,1.0,0.37390096630005887,0.05,0.0020833333333333333,False,False
atct,DRL-MADRL,PPO,12.17299057110671,13.12634743670192,True,-4.457755406521259,0.004822012004901177,0.05,0.0020833333333333333,True,False
energy_kwh,DRL-MADRL,PPO,4.603320651566621,4.709027215966245,True,-0.766073909736627,0.46566320558403307,0.05,0.0020833333333333333,False,False
sla_pct,DRL-MADRL,PPO,97.47800000000001,96.81296496496496,True,2.7769008751894466,0.04808529476279776,0.05,0.0020833333333333333,True,False
tasks_done,DRL-MADRL,PPO,1000.0,999.99,True,1.0,0.37390096630005887,0.05,0.0020833333333333333,False,False
atct,DRL-MADRL,MADDPG,12.17299057110671,15.895964172961024,True,-6.674594338350551,0.002154924649053789,0.05,0.0020833333333333333,True,False
energy_kwh,DRL-MADRL,MADDPG,4.603320651566621,5.025488329359917,True,-3.058117337262718,0.015652317974622434,0.05,0.0020833333333333333,True,False
sla_pct,DRL-MADRL,MADDPG,97.47800000000001,92.64674074074074,True,3.697997495367494,0.020829361913658917,0.05,0.0020833333333333333,True,False
tasks_done,DRL-MADRL,MADDPG,1000.0,999.97,True,1.4999999999985079,0.2080000000003667,0.05,0.0020833333333333333,False,False
atct,DRL-MADRL,MAPPO,12.17299057110671,13.709699739004225,True,-4.217412215924421,0.010301633767104232,0.05,0.0020833333333333333,True,False
energy_kwh,DRL-MADRL,MAPPO,4.603320651566621,4.822131554391726,True,-1.8759870735120345,0.10503879160273355,0.05,0.0020833333333333333,False,False
sla_pct,DRL-MADRL,MAPPO,97.47800000000001,95.86896296296295,True,3.267017725529384,0.03050940596098288,0.05,0.0020833333333333333,True,False
tasks_done,DRL-MADRL,MAPPO,1000.0,999.99,True,1.0,0.37390096630005887,0.05,0.0020833333333333333,False,False
